BTS ASCII format

Type:         	3D vector tracks
Measure unit: 	%

Tracks:       	8
Frequency:    	100 Hz
Frames:       	516
Start time:   	0.000

 Frame	 Time	 vRLASIS.X	 vRLASIS.Y	 vRLASIS.Z	 vLRASIS.X	 vLRASIS.Y	 vLRASIS.Z	    vRFz.X	    vRFz.Y	    vRFz.Z	    vLFz.X	    vLFz.Y	    vLFz.Z	    vRFx.X	    vRFx.Y	    vRFx.Z	    vRFy.X	    vRFy.Y	    vRFy.Z	    vLFx.X	    vLFx.Y	    vLFx.Z	    vLFy.X	    vLFy.Y	    vLFy.Z	
    51	0.510	  6.627267	  9.856713	-99.292114	 -6.627267	 -9.856713	 99.292114	 21.305607	 -2.752310	-97.665230	-12.061863	  2.746881	-99.231880	-91.239563	  2.189757	-40.872334	  3.333800	 99.922585	 -2.088658	-98.082970	 -0.575209	 19.478184	 -0.035850	 99.961586	  2.771437	
    52	0.520	  6.607111	  9.859694	-99.293167	 -6.607111	 -9.859694	 99.293167	 21.290899	 -2.753981	-97.668388	-12.132861	  2.749265	-99.223160	-91.235039	  2.166157	-40.883686	  3.311536	 99.923180	 -2.095673	-98.083237	 -0.572936	 19.476944	 -0.033104	 99.961517	  2.773772	
    53	0.530	  6.629460	  9.858371	-99.291809	 -6.629460	 -9.858371	 99.291809	 21.308517	 -2.758485	-97.664413	-12.193258	  2.747957	-99.215790	-91.235596	  2.155436	-40.883011	  3.302485	 99.923355	 -2.101748	-98.084343	 -0.556704	 19.471832	 -0.017308	 99.961609	  2.770740	
    54	0.540	  6.636883	  9.863796	-99.290771	 -6.636883	 -9.863796	 99.290771	 21.328667	 -2.759696	-97.659981	-12.111003	  2.738834	-99.226120	-91.231476	  2.163633	-40.891762	  3.311240	 99.923088	 -2.100482	-98.083633	 -0.546918	 19.475672	 -0.009306	 99.961891	  2.760278	
    55	0.550	  6.639866	  9.847517	-99.292191	 -6.639866	 -9.847517	 99.292191	 21.326405	 -2.760108	-97.660461	-11.982252	  2.725753	-99.242111	-91.234032	  2.150216	-40.886776	  3.297877	 99.923462	 -2.103899	-98.081795	 -0.583065	 19.483885	 -0.047701	 99.962135	  2.751288	
    56	0.560	  6.662123	  9.838826	-99.291557	 -6.662123	 -9.838826	 99.291557	 21.345333	 -2.774925	-97.655907	-12.000005	  2.731151	-99.239815	-91.236290	  2.160842	-40.881165	  3.314225	 99.922684	 -2.114923	-98.079323	 -0.602207	 19.495737	 -0.065360	 99.961914	  2.758927	
    57	0.570	  6.656142	  9.837969	-99.292046	 -6.656142	 -9.837969	 99.292046	 21.345213	 -2.778536	-97.655830	-12.060267	  2.741200	-99.232231	-91.233612	  2.148049	-40.887825	  3.303212	 99.922920	 -2.121037	-98.079681	 -0.598027	 19.494055	 -0.059233	 99.961647	  2.768548	
    58	0.580	  6.656040	  9.840574	-99.291794	 -6.656040	 -9.840574	 99.291794	 21.371443	 -2.776533	-97.650154	-12.086097	  2.744793	-99.228989	-91.233139	  2.156708	-40.888416	  3.310723	 99.922768	 -2.116576	-98.079010	 -0.603097	 19.497282	 -0.063467	 99.961533	  2.772786	
    59	0.590	  6.677505	  9.831233	-99.291275	 -6.677505	 -9.831233	 99.291275	 21.285614	 -2.759894	-97.669373	-12.095634	  2.745720	-99.227806	-91.233398	  2.156902	-40.887829	  3.304978	 99.923233	 -2.103311	-98.077950	 -0.617168	 19.502155	 -0.077145	 99.961449	  2.775425	
    60	0.600	  6.693242	  9.840932	-99.289253	 -6.693242	 -9.840932	 99.289253	 21.375025	 -2.752725	-97.650047	-12.149281	  2.752211	-99.221069	-91.239372	  2.145945	-40.875065	  3.289549	 99.923882	 -2.096761	-98.076775	 -0.629261	 19.507702	 -0.087711	 99.961212	  2.783482	
    61	0.610	  6.686162	  9.834453	-99.290375	 -6.686162	 -9.834453	 99.290375	 21.411448	 -2.770673	-97.641556	-12.181999	  2.755059	-99.216980	-91.234924	  2.133927	-40.885635	  3.284992	 99.923645	 -2.115076	-98.083122	 -0.609369	 19.476397	 -0.068198	 99.961212	  2.784099	
    62	0.620	  6.661999	  9.819690	-99.293457	 -6.661999	 -9.819690	 99.293457	 21.420591	 -2.774018	-97.639450	-12.053384	  2.739231	-99.233124	-91.229553	  2.125461	-40.898064	  3.278283	 99.923775	 -2.119712	-98.081398	 -0.599358	 19.485390	 -0.061186	 99.961700	  2.766774	
    63	0.630	  6.638715	  9.826910	-99.294304	 -6.638715	 -9.826910	 99.294304	 21.352621	 -2.760306	-97.654732	-12.028876	  2.735289	-99.236206	-91.224861	  2.113974	-40.909111	  3.262300	 99.924477	 -2.111146	-98.084198	 -0.604060	 19.471127	 -0.067045	 99.961784	  2.763416	
    64	0.640	  6.650959	  9.825297	-99.293648	 -6.650959	 -9.825297	 99.293648	 21.321104	 -2.763767	-97.661522	-12.159745	  2.755837	-99.219688	-91.232208	  2.133608	-40.891724	  3.283075	 99.923798	 -2.111039	-98.086258	 -0.630503	 19.459919	 -0.089544	 99.961105	  2.787405	
    65	0.650	  6.694431	  9.838180	-99.289444	 -6.694431	 -9.838180	 99.289444	 21.409842	 -2.762342	-97.642143	-12.081858	  2.749197	-99.229385	-91.229675	  2.100286	-40.899075	  3.248475	 99.924850	 -2.114633	-98.086342	 -0.655122	 19.458698	 -0.115439	 99.961182	  2.783528	
